Name,RelativeScore
22408666.pdf,10.0
13855004.pdf,8.93
11943065.pdf,8.68
21773106.pdf,8.34
17311685.pdf,7.7
19786924.pdf,7.66
21550454.pdf,7.4
20399718.pdf,7.24
15850434.pdf,7.1
20478831.pdf,7.02
16210888.pdf,7.01
18001081.pdf,6.96
12467531.pdf,6.86
13087952.pdf,6.52
20230207.pdf,6.5
17481570.pdf,6.45
13330982.pdf,6.08
16820422.pdf,5.59
19556300.pdf,5.38
22056333.pdf,4.73
15899269.pdf,4.56
19302310.pdf,4.45
12587973.pdf,4.21
14958913.pdf,4.09
19918523.pdf,4.05
21531811.pdf,3.97
20626794.pdf,3.95
13296856.pdf,3.93
19464810.pdf,3.59
ds3.pdf,3.58
22510753.pdf,3.14
21611212.pdf,2.82
d2.pdf,2.52
d3.pdf,2.41
i1.pdf,2.32
ds2.pdf,2.29
ds4.pdf,2.25
ds5.pdf,1.86
13583538.pdf,1.74
b5.pdf,1.19
b2.pdf,1.18
i3.docx,1.17
b3.pdf,0.21
d1.pdf,0.12
16270906.pdf,0.06
d5.pdf,0.04
d4.pdf,0.04
ds1.docx,0.03
b4.pdf,0.02
b1.pdf,0.02
